HourDK,SpotPriceDKK,Temperature,SpotPriceRelative,TemperatureRelative,TurnOn
2023-04-17T00:00,1.395091248,6.9,Normal,Normal,Normal
2023-04-17T01:00,1.3682012330000002,6.1,Normal,Normal,Normal
2023-04-17T02:00,1.351961243,5.3,Cheap,Cold,True
2023-04-17T03:00,1.362981262,4.5,Normal,Cold,Normal
2023-04-17T04:00,1.359711243,3.8,Normal,Cold,Normal
2023-04-17T05:00,1.397181274,3.3,Normal,Cold,Normal
2023-04-17T06:00,1.58929126,2.9,Expensive,Cold,False
2023-04-17T07:00,1.871321289,3.2,Expensive,Cold,False
2023-04-17T08:00,2.033941284,5.7,Expensive,Normal,False
2023-04-17T09:00,1.755561279,8.4,Expensive,Normal,False
2023-04-17T10:00,1.550481262,10.6,Expensive,Normal,False
2023-04-17T11:00,1.4163212280000002,11.9,Normal,Normal,Normal
2023-04-17T12:00,1.323431274,12.4,Cheap,Normal,True
2023-04-17T13:00,1.2920712280000002,12.6,Cheap,Hot,True
2023-04-17T14:00,1.26279126,12.8,Cheap,Hot,True
2023-04-17T15:00,1.2312012330000002,12.8,Cheap,Hot,True
2023-04-17T16:00,1.261081238,12.8,Cheap,Hot,True
2023-04-17T17:00,1.292591248,12.7,Cheap,Hot,True
2023-04-17T18:00,1.451561279,12.4,Normal,Hot,True
2023-04-17T19:00,1.610081299,11.6,Expensive,Normal,False
2023-04-17T20:00,1.603891235,10.1,Expensive,Normal,False
2023-04-17T21:00,1.540351257,8.2,Expensive,Normal,False
2023-04-17T22:00,1.455211243,6.8,Normal,Normal,Normal
2023-04-17T23:00,1.353451233,6.0,Cheap,Normal,True
