HourDK,Temperature
2023-05-24T00:00,11.3
2023-05-24T01:00,11.0
2023-05-24T02:00,10.8
2023-05-24T03:00,11.6
2023-05-24T04:00,12.0
2023-05-24T05:00,12.1
2023-05-24T06:00,12.4
2023-05-24T07:00,13.1
2023-05-24T08:00,14.2
2023-05-24T09:00,15.5
2023-05-24T10:00,17.1
2023-05-24T11:00,17.7
2023-05-24T12:00,17.0
2023-05-24T13:00,18.4
2023-05-24T14:00,18.9
2023-05-24T15:00,18.7
2023-05-24T16:00,18.5
2023-05-24T17:00,17.4
2023-05-24T18:00,16.3
2023-05-24T19:00,14.7
2023-05-24T20:00,13.7
2023-05-24T21:00,12.7
2023-05-24T22:00,11.8
2023-05-24T23:00,11.1
