HourDK,Temperature
2023-07-05T00:00,13.6
2023-07-05T01:00,12.9
2023-07-05T02:00,11.8
2023-07-05T03:00,10.8
2023-07-05T04:00,10.5
2023-07-05T05:00,10.0
2023-07-05T06:00,10.4
2023-07-05T07:00,12.0
2023-07-05T08:00,13.7
2023-07-05T09:00,15.8
2023-07-05T10:00,17.1
2023-07-05T11:00,17.2
2023-07-05T12:00,16.7
2023-07-05T13:00,15.5
2023-07-05T14:00,14.8
2023-07-05T15:00,14.7
2023-07-05T16:00,14.4
2023-07-05T17:00,14.4
2023-07-05T18:00,14.8
2023-07-05T19:00,15.1
2023-07-05T20:00,15.6
2023-07-05T21:00,15.6
2023-07-05T22:00,15.8
2023-07-05T23:00,15.0
