Timestamp: 2023-05-16 10:53:00.660080, diff: 0:00:00.288916
Timestamp: 2023-05-16 10:53:14.182584, diff: 0:00:00.222497
Timestamp: 2023-05-16 10:53:14.909616, diff: 0:00:00.205519
Timestamp: 2023-05-16 10:53:15.643744, diff: 0:00:00.368340
Timestamp: 2023-05-16 10:53:16.616492, diff: 0:00:00.343070
Timestamp: 2023-05-16 10:53:17.617543, diff: 0:00:00.315062
Timestamp: 2023-05-16 10:53:18.792535, diff: 0:00:00.287685
Timestamp: 2023-05-16 10:53:26.632468, diff: 0:00:00.324141
Timestamp: 2023-05-16 10:53:29.243579, diff: 0:00:00.247762
Timestamp: 2023-05-16 10:53:41.702181, diff: 0:00:00.269342
Timestamp: 2023-05-16 10:53:51.367985, diff: 0:00:00.310924
Timestamp: 2023-05-16 10:53:52.395660, diff: 0:00:00.201590
Timestamp: 2023-05-16 10:53:53.284945, diff: 0:00:00.326674
Timestamp: 2023-05-16 10:53:54.235401, diff: 0:00:00.330764
Timestamp: 2023-05-16 10:53:55.184562, diff: 0:00:00.358404
Timestamp: 2023-05-16 10:53:56.170611, diff: 0:00:00.243247
Timestamp: 2023-05-16 10:53:56.979777, diff: 0:00:00.300891
Timestamp: 2023-05-16 10:53:57.800877, diff: 0:00:00.469878
Timestamp: 2023-05-16 10:53:58.802456, diff: 0:00:00.335021
Timestamp: 2023-05-16 10:53:59.715573, diff: 0:00:00.412203
Timestamp: 2023-05-16 10:54:00.698629, diff: 0:00:00.283345
Timestamp: 2023-05-16 10:54:01.621473, diff: 0:00:00.307803
Timestamp: 2023-05-16 10:54:02.481484, diff: 0:00:00.363067
Timestamp: 2023-05-16 10:54:03.367700, diff: 0:00:00.362928
Timestamp: 2023-05-16 10:54:04.165729, diff: 0:00:00.502282
Timestamp: 2023-05-16 10:54:04.961622, diff: 0:00:01.192377
Timestamp: 2023-05-16 10:54:05.846377, diff: 0:00:00.336036
Timestamp: 2023-05-16 10:54:06.704858, diff: 0:00:00.192769
Timestamp: 2023-05-16 10:54:07.517678, diff: 0:00:00.343791
Timestamp: 2023-05-16 10:54:08.357648, diff: 0:00:00.686740
Timestamp: 2023-05-16 10:54:09.262373, diff: 0:00:00.303432
Timestamp: 2023-05-16 10:54:10.283516, diff: 0:00:00.242741
Timestamp: 2023-05-16 10:54:11.014616, diff: 0:00:00.306085
Timestamp: 2023-05-16 10:54:11.779567, diff: 0:00:00.316945
Timestamp: 2023-05-16 10:54:12.607633, diff: 0:00:00.451441
Timestamp: 2023-05-16 10:54:13.521489, diff: 0:00:00.336580
Timestamp: 2023-05-16 10:54:14.333577, diff: 0:00:00.245747
Timestamp: 2023-05-16 10:54:15.091473, diff: 0:00:00.360709
Timestamp: 2023-05-16 10:54:16.014392, diff: 0:00:00.217214
Timestamp: 2023-05-16 10:54:16.754811, diff: 0:00:00.185405
Timestamp: 2023-05-16 10:54:17.559330, diff: 0:00:00.307888
Timestamp: 2023-05-16 10:54:18.376459, diff: 0:00:00.219707
Timestamp: 2023-05-16 10:54:19.107458, diff: 0:00:00.303236
Timestamp: 2023-05-16 10:54:19.900382, diff: 0:00:00.248670
Timestamp: 2023-05-16 10:55:06.560529, diff: 0:00:00.215284
Timestamp: 2023-05-16 10:55:07.255780, diff: 0:00:00.250947
Timestamp: 2023-05-16 10:55:07.947838, diff: 0:00:00.280331
Timestamp: 2023-05-16 10:55:08.654586, diff: 0:00:00.288787
Timestamp: 2023-05-16 10:55:09.353630, diff: 0:00:00.339369
Timestamp: 2023-05-16 10:55:10.037486, diff: 0:00:00.290531
Timestamp: 2023-05-16 10:55:10.827522, diff: 0:00:00.212088
Timestamp: 2023-05-16 10:55:11.497627, diff: 0:00:00.351174
Timestamp: 2023-05-16 10:55:12.327405, diff: 0:00:00.311355
Timestamp: 2023-05-16 10:55:13.189442, diff: 0:00:00.374584
Timestamp: 2023-05-16 10:55:13.892521, diff: 0:00:00.300109
Timestamp: 2023-05-16 10:55:14.765462, diff: 0:00:00.336122
Timestamp: 2023-05-16 10:55:15.605456, diff: 0:00:00.540465
Timestamp: 2023-05-16 10:55:16.475575, diff: 0:00:00.260996
